smiles,klebsiella_pneumoniae
CC1(O)COCC(O)C1,0.0006860561552457511
CC1(O)c2c(Cl)ccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)CC3CC21,0.2532415986061096
CC1(O)c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)CC3C(O)C21,0.1847466379404068
CC1(O)c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)CC3CC21,0.24364641308784485
CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CCC(O)CC(O)CC(=O)CC(O)CC(O)CC(O)CC(=O)CCCC(=O)CC(=O)OC1,0.0011958791874349117
CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/CCC2CC(O)CC(O)(CC(O)CC(O)CC(O)CC(O)CC(=O)CC(O)CC(=O)OC1)O2,0.001126798102632165
CC1=C(C(=O)O)N2C(=O)CC2SC1,0.0030201333574950695
CC1=C(C(=O)O)N2C(=O)C[C@H]2OC1,0.0022053206339478493
CC1=C(C(=O)O)N2C(=O)C[C@H]2S1,0.004126226995140314
CC1=C(C(=O)O)N2C(=O)C[C@H]2SC1,0.0030201333574950695
CC1=C(C(=O)[O-])N2C(=O)CC2OC1,0.003340262221172452
CC1=C(C(=O)[O-])N2C(=O)CC2SC1,0.00429100077599287
CC1=C(C(=O)[O-])N2C(=O)C[C@H]2SC1,0.00429100077599287
CC1=C(C=O)N2C(=O)CC2SC1,0.0034233846236020327
CC1=C(C=O)N2C(=O)C[C@H]2SC1,0.0034233846236020327
CC1=C(N)C(=O)C2=C(C1=O)N1CC3NC3C1C2,0.003703880589455366
CC1=C(N)C(=O)C2=C(C1=O)N1C[C@H]3N[C@H]3[C@@H]1C2,0.00368707999587059
CC1=C(N)C(=O)C2=C(C1=O)N1C[C@H]3[C@@H]([C@H]1C2)N3C,0.002556447871029377
CC1=C2O[C@](C)(C1)C[C@@H](C)C[C@@H](C)C(=O)OC[C@@H](C)C(=O)[C@H]2C,0.0010671848431229591
CC1=C2O[C@](C)(C1)C[C@@H](C)C[C@@H](C)C(=O)OC[C@@](C)(O)[C@H](O)[C@H]2C,0.0010074549354612827
CC1=C2O[C@](C)(C1)C[C@@H](C)C[C@@H](C)C(=O)OC[C@H](C)[C@H](O)[C@H]2C,0.0008899373933672905
CC1=CC=CC(C)C(O)C(C)C(O)C(C)CC(C)CC=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCN(C)CC5)c(O)c4c3C2=O)NC1=O,0.3322266936302185
CC1=CC=CC(C)C(O)C(C)C(O)C(C)CC(C)CC=COC2(C)Oc3c(C)c(O)c4c(O)c(c(C=NN5CCNCC5)c(O)c4c3C2=O)NC1=O,0.14970499277114868
CC1=CC=CC(C)C(O)C(C)C(O)C(C)CC(C)CC=COC2(C)Oc3c(C)c(O)c4c(O)c(c5c(nc6cc(C)ccn65)c4c3C2=O)NC1=O,0.0313289500772953
CC1=CC[C@@H](N)CO1,0.000735089706722647
CC1=C\CCOC(=O)/C(C)=C/C=C/C[C@H](O)/C(C)=C/CC\C(C)=C\1,0.0010281925788149238
CC1=C\CCOC(=O)C[C@@H](O)[C@H](C)CCC[C@@H](C)C(=O)\C=C\1,0.0019616498611867428
CC1=C\C[C@H](O)/C=C/C(C)=C/C[C@]2(C)C(=O)O[C@H](CC/C=C/1)[C@@H](C)C2=O,0.001909410348162055
CC1=C\[C@@H](O)CC(=O)Cc2nc(co2)C(=O)N2CCC=C2C(=O)OC[C@H](C)/C=C/C(=O)NC\C=C\1,0.0011383483652025461
CC1=C\[C@H](C)COC(=O)C[C@@H](O)[C@H](C)CCC[C@@H](C)C(=O)\C=C\1,0.0020542992278933525
CC1C(S)=C(C(=O)O)N2C(=O)CC12,0.00517659867182374
CC1C/C=C/C=C/[C@H](O)[C@H](C)CCCCCCC(=O)O1,0.0012675640173256397
CC1C=CC=CC=CC=CC=CC=CC=CCCC2CC(O)CC(O)(CC(O)CC(O)CC(O)CC(O)CCCC(=O)CC(=O)OC1)O2,0.0024720835499465466
CC1C=CC=CC=CC=CC=CC=CC=CCCC2CC(O)CC(O)(CC(O)CC(O)CCCC(O)CC(O)CC(=O)CC(=O)OC1)O2,0.00268926820717752
CC1CC(=O)C2(O)OC3CC(O)CC(O)C3OC2O1,0.015865709632635117
CC1CC(=O)N1S(=O)(=O)O,0.012729699723422527
CC1CC(C)(O)CCO1,0.0006691721500828862
CC1CC(C)C(=O)C(C)C(=O)OCC2(C)OC(=O)NC2C(C)C(=O)C(C)C1,0.0061599984765052795
CC1CC(C)C(=O)OCC(C)(O)C(O)C(C)C(=NOCO)C(C)CC(C)(O)C1,0.001973015023395419
CC1CC(C)C(=O)OCC(C)(O)C(O)C(C)C(=O)C(C)CC(C)(O)C1,0.002757599111646414
CC1CC(C)C(=O)OCC(C)(O)C(O)C(C)N(C)CC(C)CC(C)(O)C1,0.0022020433098077774
CC1CC(C)CC(C)C(=O)C(C)C(O)C(C)(O)COC(=O)C(C)C1,0.002106082858517766
CC1CC=CC=CC(O)C(C)CCCCC(O)CC(=O)O1,0.0016977832419797778
CC1CCC(C(C)C)C(O)C1,0.0006225298275239766
CC1CCC(O)CO1,0.0007357508293353021
CC1CCC2(C)C(C=O)=CCCC2C1(C)C,0.0008620323496870697
CC1CCC2(C)C(C=O)=CCCC2C1C,0.0009183015208691359
CC1CCCCC1,0.0008810317958705127
CC1CCOC(C)C1O,0.0007137779030017555
CC1CCc2cc(F)cc3c(=O)ccn1c23,0.0043180231004953384
CC1CN2C(=O)CC2S1(=O)=O,0.0017674011178314686
CC1CNCC(C)N1,0.0007506894180551171
CC1CNCCN1,0.000822858011815697
CC1COc2cc(F)cc3c(=O)ccn1c23,0.0033651876728981733
CC1OCC(O)C(N)C1O,0.0007666909950785339
CC1OCCC1O,0.0008180883014574647
CC1Sc2cc(=O)c3cc(F)ccc3n21,0.00578820938244462
CC1c2cccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)CC3C(O)C21,0.299572616815567
CC=O,0.004942538216710091
CCC,0.0016736217075958848
CCC(=N)N,0.0009248750284314156
CCC(=O)O,0.0013252550270408392
CCC(C)O,0.0008681367617100477
CCC(C=O)CC,0.0008834219770506024
CCC=O,0.002116368617862463
CCCC,0.0011916693765670061
CCCC#N,0.0009609247790649533
CCCC(=O)O,0.0008845736738294363
CCCC(=O)[C@@H](C)[C@@H](O)CC,0.0006292916368693113
CCCC(C)C(O)CC=O,0.0007673963555134833
CCCC(O)CC,0.0006837665569037199
CCCC=O,0.0013951730215921998
CCCCC,0.0010011284612119198
CCCCC(=O)O,0.000728523067664355
CCCCC(C)CC,0.0008085884037427604
CCCCC(O)CC=O,0.0007834839634597301
CCCCC=O,0.0010492694564163685
CCCCCC,0.0008900032262317836
CCCCCC(C)C,0.0007593876216560602
CCCCCCCC=O,0.0007385467761196196
CCCCCCCCC(=O)O,0.0006188086117617786
CCCCCCCCCC,0.0009000280406326056
CCCCCCCCCCCC,0.001103922608308494
CCCCCCCCCCCCC,0.001265171216800809
CCCCCCCCCCCCCC,0.001451824326068163
CCCCCCCCCCCCCCCC,0.0019412998808547854
CCCCCCCCCCCCCCCC=O,0.0009757487569004297
CCCCCCCCN=c1cc[nH]cc1,0.0010993808973580599
CCCCCCO,0.0007030314300209284
CCCCN,0.0009274212643504143
CCCCO,0.0008832080638967454
CCCC[C@@H](C)CCC,0.0008318626205436885
CCCC[C@H](C)O,0.0006800871342420578
CCCC[C@H](N)C(=O)O,0.0006004822789691389
CCCC[P+](C)(CCCC)CCCC,0.0008637727005407214
CCCN,0.0011680892203003168
CCCO,0.0011530568590387702
CCC[C@H](C)C(=O)[O-],0.0006835917592979968
CCF,0.002168776234611869
CCN,0.0017763866344466805
CCN(O)c1nc(C#N)c(Cl)s1,0.010878403671085835
CCN1C(=O)c2cccc(O)c2Nc2c(O)cc(O)cc21,0.002286560134962201
