smiles,klebsiella_pneumoniae,heavy_atoms
Cn1sc(=O)[nH]c1=O,0.0348774641752243,8
Fc1ccc(F)c(F)c1,0.0040419865399599,9
Fc1cccc(Cl)c1,0.0056841080076992,8
Fc1cccc(F)c1,0.002910346025601,8
Fc1cccc(F)c1C1=CCNCC1,0.0009002190781757,14
Fc1ccccc1,0.002407188527286,7
N#C[C@H]1CN2CCC1CC2,0.0007469119736924,10
N/C=N/c1ccc2ccccc2c1,0.0007561683887615,13
N=C(N)NC(=N)N,0.001507313339971,7
N=C(N)NC(=N)N1CCN(CN)CC1,0.0006418342236429,14
N=C(N)NC(=N)Nc1ccc(Cl)cc1,0.0015494071412831,14
N=C(N)NCCCCC=O,0.0006678945501334,10
NC(=O)C(C(=O)O)=C1SCS1,0.0043240427039563,11
NC(=S)N1CCNCC1,0.0007584340637549,9
NC(=S)c1ccncc1,0.0028438589069992,9
NC(CCCC=O)C(=O)[O-],0.0007369143422693,10
NC(N)=NC1CCCCC1,0.0006369673064909,10
NC(N)=N[C@@H]1[C@@H](O)[C@H](N=C(N)N)C[C@H](O)[C@H]1O,0.0020679249428212,17
NC1=C(C(=O)O)C(=O)[C@@H](O)CC1=O,0.0053964839316904,13
NC1=NCCN1,0.003450471907854,6
NC1=NC[C@@H](CO)N1,0.0020117431413382,8
NC1C(O)COCC1O,0.0008438242366537,9
NC1CC(N)CC(O)C1,0.0006853853119537,9
NC1CCCC(O)C1,0.0007447653915733,8
NC1CCNC1,0.0009049722575582,6
NC1CCNCC1,0.000878686318174,7
NC1COCC(O)C1O,0.000836290011648,9
NCC1=CC[C@@H](N)CO1,0.00068685261067,9
NCCC(O)C=O,0.0012718812795355,7
NCCCC(N)CC=O,0.0007105432450771,9
NCCCC=O,0.0010405356297269,6
NCC[C@H](N)C=O,0.0009150495752692,7
NCC[C@H](O)C=O,0.0012718812795355,7
NCN1CCCC1,0.0008112746290862,7
NCN1CCCCC1,0.0007981125963851,8
NCN1CCNCC1,0.0008046187576837,8
NC[C@H](O)C=O,0.0020230938680469,6
NC[C@H]1OB(O)c2ccccc21,0.0051509160548448,12
NCc1ccccc1,0.0008920615073293,8
NS(=O)(=O)N1CCN(NC=O)C1=O,0.0024435182567685,13
NS(=O)(=O)c1ccccc1,0.0014590572100132,10
N[C@@H](C=O)C1=CCC=CC1,0.0007730326615273,10
N[C@@H](CCC=O)C(=O)O,0.0008682702900841,9
N[C@@H]1CCCCNC1,0.000735543842893,8
N[C@@H]1CCCOC1,0.0007742010639049,7
N[C@@H]1CCC[C@H](O)C1,0.0007447653915733,8
N[C@@H]1CC[C@@H](O)C[C@H]1O,0.0007115210173651,9
N[C@@H]1CC[C@@H](O)[C@H](N)C1,0.0007008160464465,9
N[C@@H]1CNCC12CC2,0.0006789133767597,8
N[C@@H]1COC[C@H](O)[C@H]1O,0.0008362118969671,9
N[C@@H]1C[C@H](N)C[C@@H](O)C1,0.0006853853119537,9
N[C@@H]1C[C@H](N)C[C@H](O)C1,0.0006853853119537,9
N[C@@H]1C[C@H](O)CC[C@H]1O,0.0007071065483614,9
N[C@@H]1[C@H]2CNC[C@@H]12,0.0007667036843486,7
N[C@H]1CCC[C@@H](O)C1,0.0007447653915733,8
N[C@H]1CCNC1,0.0009049722575582,6
N[C@H]1COC2C(C1)OCC[C@H]2O,0.0007309188949875,12
N[C@H]1COCC[C@@H]1O,0.0008198871510103,8
N[C@H]1COC[C@@H](O)C1,0.0007340048905462,8
N[C@H]1COC[C@@H](O)[C@@H]1O,0.0008360078209079,9
N[C@H]1C[C@@H](N)[C@H](O)[C@@H](O)C1,0.0007526699337176,10
N[C@H]1[C@H](O)COC[C@@H]1O,0.0008439322118647,9
Nc1c(F)cc(F)c2[nH]ccc(=O)c12,0.0069026229903101,14
Nc1cc(C(F)(F)F)cc(N)c1O[C@@H]1CCNC1,0.0019566642586141,18
Nc1cc[nH]c(=O)n1,0.003099835012108,8
Nc1ccc([SH](=O)=O)cc1,0.0017719904426485,10
Nc1ccc2c(N)c3ccccc3nc2c1,0.003191165626049,16
Nc1cccc(O)c1,0.0013724714517593,8
Nc1ccccc1,0.0012897107517346,7
Nc1ccnc(N)n1,0.0023256326094269,8
Nc1nc(/C(C=O)=N/O)cs1,0.0085556888952851,11
Nc1nc(/C(C=O)=N/O)ns1,0.0246383901685476,11
Nc1nc(/C(C=O)=N\O)cs1,0.0047315619885921,11
Nc1nc(/C(C=O)=N\O)ns1,0.0111727975308895,11
Nc1nc(C(C=O)=NO)cs1,0.0049311723560094,11
Nc1nc2ccccc2c2[nH]cnc12,0.0017699456075206,14
Nc1nc[nH]c(=O)n1,0.0033138352446258,8
Nc1ncc(F)cc1F,0.0028942148201167,9
Nc1ncccn1,0.0037191249430179,7
Nc1nccs1,0.0026410857681185,6
Nc1ncnc2[nH]cnc12,0.0015886105829849,10
Nc1nnco1,0.0024784782435745,6
O=C(O)C1=C(C[n+]2ccccc2)CS[C@@H]2CC(=O)N12,0.0281175971031188,19
O=C(O)C1=C(Cl)CC[C@@H]2CC(=O)N12,0.0134376706555485,13
O=C(O)C1=C(Cl)CSC2CC(=O)N12,0.0127767706289887,13
O=C(O)C1=C(Cl)CS[C@@H]2CC(=O)N12,0.0127767706289887,13
O=C(O)C1=C(S)CS[C@@H]2CC(=O)N12,0.0091500906273722,13
O=C(O)C1=C(S)C[C@@H]2CC(=O)N12,0.0088489633053541,12
O=C(O)C1=C(S)S[C@@H]2CC(=O)N12,0.0082850363105535,12
O=C(O)C1=C([C@H]2CCCO2)S[C@@H]2CC(=O)N12,0.0058893109671771,16
