,mole,smiles
373,CC(=O)NCCc1c[nH]c2ccc(F)cc12,CC(=O)NCCc1c[nH]c2ccc(F)cc12
374,CC(=O)Nc1cnccc1C,CC(=O)Nc1cnccc1C
375,COC(=O)c1ccc(S(N)(=O)=O)cc1,COC(=O)c1ccc(S(N)(=O)=O)cc1
376,C[NH+]1CCN(C(=O)Nc2ccccc2)CC1,C[NH+]1CCN(C(=O)Nc2ccccc2)CC1
377,NC(=O)C1CCN(C(=O)Nc2ccccc2)CC1,NC(=O)C1CCN(C(=O)Nc2ccccc2)CC1
378,CC(=O)Nc1ccc(Oc2ncccn2)cc1,CC(=O)Nc1ccc(Oc2ncccn2)cc1
379,CN1CCCc2ccc(S(N)(=O)=O)cc21,CN1CCCc2ccc(S(N)(=O)=O)cc21
380,CCNc1ccc(C#N)cn1,CCNc1ccc(C#N)cn1
381,CC(=O)NCc1ccc(S(N)(=O)=O)cc1,CC(=O)NCc1ccc(S(N)(=O)=O)cc1
382,Fc1cccc(C[NH2+]Cc2ccco2)c1,Fc1cccc(C[NH2+]Cc2ccco2)c1
383,Cc1ccc(OCC(=O)N2CC[NH+](C)CC2)cc1,Cc1ccc(OCC(=O)N2CC[NH+](C)CC2)cc1
384,O=C(c1ccc2c(c1)OCO2)N1CCCCCC1,O=C(c1ccc2c(c1)OCO2)N1CCCCCC1
385,O[C@H]1CC[N@@H+](Cc2ccsc2)CC1,O[C@H]1CC[N@@H+](Cc2ccsc2)CC1
386,Oc1ccccc1CNc1nc2ccccc2[nH]1,Oc1ccccc1CNc1nc2ccccc2[nH]1
387,Cc1nnc(C[N@H+]2CCC=C(F)C2)s1,Cc1nnc(C[N@H+]2CCC=C(F)C2)s1
388,Cc1cc(CN(C)C(=O)NC2CC2)no1,Cc1cc(CN(C)C(=O)NC2CC2)no1
389,c1ccc(SCC[NH+]2CCOCC2)cc1,c1ccc(SCC[NH+]2CCOCC2)cc1
390,c1cnc(N2CC[C@]3(CCOC3)C2)cn1,c1cnc(N2CC[C@]3(CCOC3)C2)cn1
391,O=C(NCCc1ccncc1)c1ccccc1F,O=C(NCCc1ccncc1)c1ccccc1F
392,O=C(Nc1ccccc1)Nc1cccnc1,O=C(Nc1ccccc1)Nc1cccnc1
393,C[C@@H]1[C@@H](O)CCC[N@@H+]1Cc1ccccc1,C[C@@H]1[C@@H](O)CCC[N@@H+]1Cc1ccccc1
394,COC(=O)c1cccc(NS(C)(=O)=O)c1,COC(=O)c1cccc(NS(C)(=O)=O)c1
395,NC(=O)c1ccc(NC(=O)[C@@H]2CCCO2)cc1,NC(=O)c1ccc(NC(=O)[C@@H]2CCCO2)cc1
396,O=C(NCCc1ccncc1)NC1CCCCC1,O=C(NCCc1ccncc1)NC1CCCCC1
397,Clc1cccc(C[N@@H+]2C=COCC2)c1,Clc1cccc(C[N@@H+]2C=COCC2)c1
398,O=C(CC1CCCCC1)Nc1cccnc1,O=C(CC1CCCCC1)Nc1cccnc1
399,CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1,CC(=O)N1CCN(S(=O)(=O)c2cccs2)CC1
400,CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,CC(=O)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1
401,CC(=O)N1CC[NH+](Cc2cccc(C)c2)CC1,CC(=O)N1CC[NH+](Cc2cccc(C)c2)CC1
402,CC(=O)N1CCN(C(=O)c2ccc(C)cc2)CC1,CC(=O)N1CCN(C(=O)c2ccc(C)cc2)CC1
403,CC(=O)NNC(=O)c1cc2c(s1)CCCC2,CC(=O)NNC(=O)c1cc2c(s1)CCCC2
404,CC(=O)N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1,CC(=O)N1CCN(S(=O)(=O)c2ccc(C)cc2)CC1
405,CC(=O)N1CCN(c2ccccc2[N+](=O)[O-])CC1,CC(=O)N1CCN(c2ccccc2[N+](=O)[O-])CC1
406,CC(=O)N1CCN(C(=O)c2ccco2)CC1,CC(=O)N1CCN(C(=O)c2ccco2)CC1
407,CC(=O)N1CCC[C@@H](c2nc3ccccc3s2)C1,CC(=O)N1CCC[C@@H](c2nc3ccccc3s2)C1
408,CC(=O)NCc1ccc2c(c1)OCO2,CC(=O)NCc1ccc2c(c1)OCO2
409,CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1,CC(=O)N1CCN(S(=O)(=O)c2c(F)cccc2F)CC1
410,CC(=O)N1CCO[C@@H](c2ccc(F)cc2)C1,CC(=O)N1CCO[C@@H](c2ccc(F)cc2)C1
411,CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1,CC(=O)N1CCN(S(=O)(=O)c2ccccc2F)CC1
412,CC(=O)N1CC[NH+](Cc2cccc(Cl)c2)CC1,CC(=O)N1CC[NH+](Cc2cccc(Cl)c2)CC1
413,CC(=O)N1CCN(S(=O)(=O)c2ccc(C)cc2C)CC1,CC(=O)N1CCN(S(=O)(=O)c2ccc(C)cc2C)CC1
414,CC(=O)N1CCN(S(=O)(=O)c2ccccc2C#N)CC1,CC(=O)N1CCN(S(=O)(=O)c2ccccc2C#N)CC1
415,CC(=O)Nc1cccc(C(=O)N2CCSCC2)c1,CC(=O)Nc1cccc(C(=O)N2CCSCC2)c1
416,CC(=O)N[C@@H](C)c1cccc2ccccc12,CC(=O)N[C@@H](C)c1cccc2ccccc12
417,CC(=O)N1CC[NH+](Cc2cccc3ccccc23)CC1,CC(=O)N1CC[NH+](Cc2cccc3ccccc23)CC1
418,CC(=O)N1C=C[N@@H+](Cc2ccccc2C)CCC1,CC(=O)N1C=C[N@@H+](Cc2ccccc2C)CCC1
419,NC(=O)[C@H]1CCC[C@H]1c1ccsc1,NC(=O)[C@H]1CCC[C@H]1c1ccsc1
420,OCC1(c2ccccn2)CCCC1,OCC1(c2ccccn2)CCCC1
