smiles,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,RotBonds,AnalogsFromREAL
BrC=1C=CC(=CC1)C2(CNC(C3=NC=CN3)C=4C=CC=NC4)CCOCC2,Z1956420635,427.338,427.338,1.862,-2.959,2,4,62.83,6,https://real.enamine.net/public-enum-files/Z1956420635
CN1N=CC(C(=O)NC=2C=CC=C3C=CNC23)=C1N4C=CC=C4,Z1729999687,305.335,305.335,2.709,-3.37,2,2,67.64,4,https://real.enamine.net/public-enum-files/Z1729999687
CCOC=1C=CC(=CC1)C2=NC(C)=C(S2)C(=O)N3CCC4=NNC(=O)C=C4C3,Z1730125861,396.465,396.465,1.578,-5.243,1,5,83.89,4,https://real.enamine.net/public-enum-files/Z1730125861
O=C1NCCC=2C=CC(=CC12)S(=O)(=O)NC=3C=CC=C4C=CNC34,Z1730025845,341.386,341.386,2.022,-4.16,3,3,91.06,2,https://real.enamine.net/public-enum-files/Z1730025845
O=C(NC=1C=NN(C1)CC=2C=CN=CC2)C3=CN=C4CCCCN34,Z1495016530,322.365,322.365,1.076,-1.014,1,4,77.63,5,https://real.enamine.net/public-enum-files/Z1495016530
COC=1C=NC=C(N1)C(=O)NC2CCN(C2=O)C=3C=CC=CC3,Z1839639001,312.324,312.324,2.065,-3.005,1,5,84.42,5,https://real.enamine.net/public-enum-files/Z1839639001
CN1N=C(C=C1NC(=O)C2CCC(F)(F)C2)C=3C=CN=CC3,Z1958032368,306.311,306.311,1.237,-3.241,1,3,59.81,4,https://real.enamine.net/public-enum-files/Z1958032368
CN1C=C(C=N1)N2CCN(CC2)C(=O)[C@@H]3C[C@H]3C=4C=CC(=CC4)OC(F)(F)F,Z1958106691,394.392,394.392,2.734,-3.53,0,4,50.6,5,https://real.enamine.net/public-enum-files/Z1958106691
O=C(NC1=NC=2C=CC=CC2N1CCC=3C=CC=CN3)C4=CSC(=N4)C=5C=CSC5,Z1334431887,431.536,431.536,4.251,-5.773,1,4,72.7,7,https://real.enamine.net/public-enum-files/Z1334431887
CNC(=O)C=1C=CC(OC)=C(C1)NC(=O)C2=CC(=NN2)C3=CC=CC(=C3)OC,Z1437640344,380.398,380.398,2.268,-5.135,3,5,105.34,6,https://real.enamine.net/public-enum-files/Z1437640344
CC=1C=CC=CC1CC(CO)CNC(CC(C)C)C=2C=CC=CN2,Z1438477861,326.477,326.477,3.782,-3.932,2,3,45.15,9,https://real.enamine.net/public-enum-files/Z1438477861
CC1=NC(C)=C(O1)C(=O)NC(C)(C=2C=CC(Br)=CC2)C(C)C,Z1841915313,365.265,365.265,3.949,-4.422,1,2,55.13,5,https://real.enamine.net/public-enum-files/Z1841915313
C[C@H](NC(=O)CN1N=NC=2C=CC=CC2C1=O)C=3C=CC(=CC3)OC(F)(F)F,Z1842631229,392.333,392.333,3.37,-4.979,1,5,83.36,7,https://real.enamine.net/public-enum-files/Z1842631229
O=C(C1CNC(=O)C1)N2CCNC(=O)C2C=3C=CC(=CC3)OC(F)(F)F,Z1842117708,371.312,371.312,2.232,-3.075,2,4,87.74,5,https://real.enamine.net/public-enum-files/Z1842117708
CCN1C=C(C=N1)C2CN(CCO2)C(=O)C3=COC4=CC=CC=C34,Z1842737887,325.363,325.363,1.534,-3.044,0,3,60.5,4,https://real.enamine.net/public-enum-files/Z1842737887
COC=1C=CC(=NN1)C(=O)N2CCN(CC2)C=3C=C(C)C=CN3,Z1439770392,313.355,313.355,0.673,-3.395,0,6,71.45,4,https://real.enamine.net/public-enum-files/Z1439770392
CCOC=1C=CC=NC1C(=O)N2CCN(CC2)C=3N=CN=C4SC=CC34,Z1336808991,369.443,369.443,2.062,-4.733,0,6,71.45,4,https://real.enamine.net/public-enum-files/Z1336808991
CC(C)OC=1C=NC=C(C1)C(=O)N2CC(C)OCC2C=3C=CC=CC3,Z1439991239,340.417,340.417,3.394,-3.539,0,4,51.66,4,https://real.enamine.net/public-enum-files/Z1439991239
O=C(NS(=O)(=O)C=1C=CC(=C(F)C1)N2C=CC=N2)C3=CC=NN3C=4C=CC=CC4,Z1962644730,411.412,411.412,3.641,-4.185,1,5,98.88,6,https://real.enamine.net/public-enum-files/Z1962644730
COC=1C=CC=C(C1)OCCN2CCN(CC2)C(=O)C=3SC=NC3C(C)(C)C,Z1442064735,403.54,403.54,3.989,-3.806,0,5,54.9,7,https://real.enamine.net/public-enum-files/Z1442064735
COC=1C=CC(=CC1S(=O)(=O)N(C)C=2C=CN(C)N2)CC(=O)O,Z1737942436,339.369,339.369,0.142,-1.661,1,6,101.73,6,https://real.enamine.net/public-enum-files/Z1737942436
COC=1C=CC=C(C1)CC2CCN(CC2)C(=O)NC=3C=CN=C(C)N3,Z1738355359,340.42,340.42,3.063,-3.52,1,4,67.35,6,https://real.enamine.net/public-enum-files/Z1738355359
O=C(O)CC=1C=CC(=CC1)CCNS(=O)(=O)C=2C=CC(Cl)=CC2,Z1738593072,353.822,353.822,3.305,-3.515,2,4,83.47,7,https://real.enamine.net/public-enum-files/Z1738593072
O=C(O)C1COCCN1S(=O)(=O)C=2C=NC=3C=CSC3C2,Z1739151389,328.367,328.367,0.987,-2.296,1,6,96.8,3,https://real.enamine.net/public-enum-files/Z1739151389
CC1=CC(C)=NC2=C(C=NN12)C3=NOC(=N3)C4(CC4)C=5C=CC=NC5,Z2193819259,332.36,332.36,1.707,-2.4,0,5,82,3,https://real.enamine.net/public-enum-files/Z2193819259
COC=1C=CC=C(CC(=O)NC=2C=CC(=NC2C)OC)N1,Z1739035471,287.314,287.314,2.041,-2.483,1,5,73.34,6,https://real.enamine.net/public-enum-files/Z1739035471
CC=1C=CN=C(C)C1NC(=O)C2CCN(CC2)C3=NC=4C=CC=CC4O3,Z2194193677,350.415,350.415,1.669,-3.762,1,4,71.26,3,https://real.enamine.net/public-enum-files/Z2194193677
O=C(C=1C=NC=2C=CC=CC2N1)N3CCN(CC3)C4=NN=C(S4)C(F)(F)F,Z1740115303,394.376,394.376,1.269,-4.452,0,6,75.11,3,https://real.enamine.net/public-enum-files/Z1740115303
CCOC=1N=C(C)C=CC1C(=O)N2CCCC2C3=CSC(C)=N3,Z1848293112,331.434,331.434,2.963,-3.057,0,4,55.32,5,https://real.enamine.net/public-enum-files/Z1848293112
CC(C)NC(=O)C=1C=CC(Cl)=C(C1)NC(=O)C=2C=C3N=CC=CN3N2,Z2194584862,357.795,357.795,0.979,-4.609,2,4,88.39,6,https://real.enamine.net/public-enum-files/Z2194584862
O=C(O)C=1C=CC(=CC1)S(=O)(=O)NCC(=O)N2C3CCC2C=4C=CC=CC43,Z1444162254,386.424,386.424,2.017,-4.268,2,5,103.78,4,https://real.enamine.net/public-enum-files/Z1444162254
N#CC=1C(=NNC1NS(=O)(=O)C=2C=CC=3NC(=O)C4=CC=CC2C43)C5CC5,Z1848849310,379.394,379.394,2.161,-5.175,3,5,127.74,3,https://real.enamine.net/public-enum-files/Z1848849310
CC=1C=C(N=C(N1)C=2C=CC=C(C2)[N+]([O-])=O)N3CCC(CC3)OC=4C=NC=CN4,Z1900733366,392.412,392.412,2.936,-4.662,0,8,107.17,5,https://real.enamine.net/public-enum-files/Z1900733366
CC1(CCOCC1)C(=O)NC=2C=CC(=CC2)C(=O)NCCC(=O)O,Z1444894063,334.368,334.368,0.186,-2.402,3,5,104.73,8,https://real.enamine.net/public-enum-files/Z1444894063
CC1=CSC=C1C(=O)N2CCN(CC2)C(=O)CC3=CNC4=CC=CC=C34,Z1343601730,367.467,367.467,2.677,-4.511,1,2,56.41,3,https://real.enamine.net/public-enum-files/Z1343601730
CC=1C=CC(=CC1)C2CC(C)N(C2)S(=O)(=O)CC3=CC=CC(C#N)=C3,Z1901575813,354.468,354.468,3.839,-4.586,0,3,61.17,3,https://real.enamine.net/public-enum-files/Z1901575813
O=C(NC1CN(C1)C(=O)NC2CCCC(F)(F)C2)C3CCC3,Z1741167102,315.36,315.36,2.127,-3.894,2,2,61.44,6,https://real.enamine.net/public-enum-files/Z1741167102
CS(=O)(=O)C=1C=CC=CC1N2CCCC2C=3C=CC=CN3,Z1343271196,302.393,302.393,1.268,-2.691,0,4,50.27,3,https://real.enamine.net/public-enum-files/Z1343271196
CC=1C=CC(=CC1C)C(C)NC(=O)CN2CCOC3(CCOCC3)C2,Z1447399995,346.465,346.465,2.167,-3.336,1,4,50.8,5,https://real.enamine.net/public-enum-files/Z1447399995
COC=1C=CC(C)=CC1N2C=CC(=N2)C(=O)NS(=O)(=O)C3=CN=C4C(C=NN4C)=C3,Z1741563752,426.451,426.451,2.769,-3.82,1,7,121,6,https://real.enamine.net/public-enum-files/Z1741563752
CC=1C=CC(C(=O)NC=2C=CC=3OC(=O)N(C)C3C2)=C(F)C1,Z1343973206,300.285,300.285,2.026,-4.283,1,3,58.64,3,https://real.enamine.net/public-enum-files/Z1343973206
CC=1C(C(=O)N2CCCC(O)(C2)C(F)(F)F)=C(O)N=C3C=CC=CC13,Z1344316182,354.324,354.324,2.933,-4.889,2,4,73.66,2,https://real.enamine.net/public-enum-files/Z1344316182
COCC1CCCN(C1)C(=O)NC2CCN(CC=3C=CC(C#N)=CC3)C2=O,Z1850725111,370.446,370.446,1.033,-3.666,1,4,85.67,5,https://real.enamine.net/public-enum-files/Z1850725111
CC1=NN(C)C=2OCCN(C(=O)CCC=3C=NC=C(F)C3)C12,Z1743507745,304.32,304.32,0.59,-1.805,0,4,60.25,4,https://real.enamine.net/public-enum-files/Z1743507745
CC(NC=1C=CC=C(C1)NC(=O)CO)C2=NC(=NO2)C=3C=CC=CC3,Z1449692881,338.361,338.361,1.203,-4.163,3,5,100.28,7,https://real.enamine.net/public-enum-files/Z1449692881
CC(C)OC=1C=CC(=NC1)C(=O)NC=2C=CN(N2)C3CCN(C)CC3,Z1903669460,343.424,343.424,1.599,-1.956,1,5,72.28,6,https://real.enamine.net/public-enum-files/Z1903669460
CC(C)C=1C=CC=2CCC(NC3=NC(=O)C=4C=NNC4N3)C2C1,Z1744094156,309.367,309.367,2.412,-6.045,3,5,82.17,3,https://real.enamine.net/public-enum-files/Z1744094156
C[C@@H](NS(=O)(=O)C=1C=C(Cl)C=CC1OCC2CCOC2)C(=O)O,Z1744329390,363.815,363.815,1.528,-3.28,2,6,101.93,7,https://real.enamine.net/public-enum-files/Z1744329390
O=S(=O)(C1=CNC=2N=CC=CC12)N3CCN(CC3)C4=CC(=NN4)C5CC5,Z1744839261,372.447,372.447,1.812,-3.957,2,5,97.98,4,https://real.enamine.net/public-enum-files/Z1744839261
CC=1C=CC=C(C1)C2(CCC2)C(=O)N3CCC(CC3)N(C)CC(=O)O,Z1855639681,344.449,344.449,-0.04,-3.424,1,4,60.85,6,https://real.enamine.net/public-enum-files/Z1855639681
O=C(NC1=CC(CC2CCCCC2)=NN1)NC=3C=CC(=NN3)C(F)(F)F,Z1856565918,368.358,368.358,3.858,-6.28,3,4,95.59,5,https://real.enamine.net/public-enum-files/Z1856565918
